airport_traffic,avg_income,fuel_price,avg_ticket_fare,flight_frequency,route_distance,passenger_demand
224835.70765056164,69293.4483241794,0.660835851180845,280.27954466581406,138.76567611951995,2059.7421746344007,124866.26963191046
193086.78494144077,71729.41431641881,0.8100937465569341,213.113387032895,109.67910543565252,1869.8534731651075,85799.76261564784
232384.42690503463,77996.61491810333,0.9007865549577275,284.7842368042264,121.92241553881966,1523.8521479680696,126877.58400959008
276151.49282040127,77645.62462441884,0.9070470890647113,304.22551435219805,110.75449422589915,1241.2252889177705,164130.4776187541
188292.3312638332,48467.9675845149,0.8324901792781134,266.53739612894805,111.31007545135368,1779.289325445436,97607.77714293064
188293.15215254098,53746.09952101853,0.9934274898521248,325.07183250232265,113.81655753062721,1657.3941541686997,91178.40999439612
278960.6407753696,71180.42320650391,0.7398569355926109,219.04843203585708,124.44267543267426,1858.0772880110928,117150.75172671351
238371.73645764543,71165.4314109465,0.878643077246806,200.2138118675433,110.42502756673045,1754.0687206727878,99517.98137638916
176526.28070325239,71180.57223567257,0.9180443447567849,178.85119004382886,145.11512251147042,1919.8210861277341,43882.47955406988
227128.00217929823,111232.77788785665,0.9771658251088123,309.8417724595673,102.10785395560993,1285.9059153757728,200988.47190883727
176829.11535937688,71850.686128318,1.0067422317133334,276.1746262541623,116.26256711677281,2026.9576262537303,31113.334681158165
176713.51232148716,78626.78768216718,0.7313036862243196,247.7766131635818,111.2053788345165,1579.0398418769598,59522.064635499984
212098.1135783017,76448.02116191843,0.6698828743896567,261.1987450527928,148.93955768707465,2330.104349050106,82527.40203462915
104335.9877671101,72816.69501566958,1.0916515232847763,204.98043810806493,123.93109553023149,1224.3248727641728,115348.10563153998
113754.10837434836,61216.76906431585,0.9498471017969388,347.8300791846731,140.6368907893727,2194.3855212660997,40734.429016615984
171885.62353795135,74107.63064591921,0.787727019516517,255.1688472790091,90.28879253926056,1579.1643133850591,147914.81970538324
149358.44398327882,55726.09742554914,1.1326727963283785,254.3757917841957,125.34100531738518,1239.4327985542207,51082.91104700163
215712.36662976368,62158.176719119896,0.9173511951439288,279.03066495594766,137.79261591246873,1306.4456663782714,129788.77528414826
154598.79622393945,59175.63742605076,1.076894577609574,269.24036926946854,121.64567978550848,1371.861076722272,42243.919523639524
129384.81493323542,65982.48967263587,0.9101277722115164,258.95536097116525,141.30960750130703,1669.6663785607666,184133.48827431782
273282.4384460777,92775.90280008211,1.209112188732298,218.38102178218753,109.65423099799256,1709.1341952141997,93286.41492106441
188711.1849756732,42592.81768889903,1.1633011263664808,268.8587342854398,148.1869488037116,1270.5199984245685,122456.84808985463
203376.4102343962,73235.12228449417,0.862655377728139,325.2809798590014,165.977962472385,1490.258163095607,142029.45880877986
128762.59068932716,45647.40954572418,1.0457356426431534,303.8168018461991,112.74322879120682,2356.9081434447453,82706.63451911429
172780.86377374086,59336.8176105268,0.9968063924377721,313.72746506557587,111.08994957198456,2191.0172680402848,73741.16226157517
205546.1294854933,78067.4071636084,1.1052947336298522,229.5513729427526,149.067689542354,1674.5294678696127,117975.93425291032
142450.32112888485,65771.36022914555,0.7552614809129844,210.41580718965676,151.59144291461425,1515.20139126728,93880.97464564734
218784.9009172836,52067.06266484833,1.002907718999766,244.96852319601408,109.54279945693463,1548.0125306873044,107918.55521853143
169968.06550405975,56416.35548888038,1.0587636730274381,252.22899649154778,111.59626365808285,1745.4071890921666,139471.9773117263
185415.31251033617,73155.17298721611,0.6361890770365328,293.76766073883795,114.36430782278985,1090.8829739206378,201437.14224869435
169914.66938853016,56235.60041939436,0.7225112231001338,182.30141481140723,93.11098977931445,1397.049385030662,65863.9529399317
292613.90922544687,67597.5030749837,0.594115173335985,311.18201277842456,101.62696107031604,832.5663704489642,69247.1460254431
199325.1387631033,65546.86207884576,0.8595889748333163,243.67968405684041,99.91718466495864,1659.6892490421117,98826.38647792026
147114.453552205,57180.795828730195,1.0076313383693944,232.9247572021032,104.64404869791743,1758.8783758810964,209559.3852195493
241127.24560515943,90727.3290719039,1.1253535578144043,209.51582498959328,119.30630225226437,1306.7254150802505,99105.36470405472
138957.81750144888,72607.02826781613,0.9111142170629662,183.80573312536922,124.68429465073041,2129.594705316013,171406.80771421632
210443.17975023776,40698.288960108715,1.1442923318356937,282.92682335847655,151.01000985628153,1009.6937347990636,199932.86175360763
102016.49380601122,67237.45177723313,0.6929847812677663,252.93271868753615,100.03291918522419,914.2500479160719,24050.749801182486
133590.69755507848,57058.562422779345,0.6444926340967269,198.40156401035784,139.68644796953168,1589.7807274239888,112556.66271087747
209843.06179345617,75229.20001755469,0.8916678451655072,198.19684911745537,115.72022311548982,1918.839321044862,201981.4889178197
236923.3289997705,55489.751138807595,0.9576098173408961,236.56861202839488,119.01072580695134,2173.5710765831473,108897.74038527923
208568.41405949852,63623.16270239721,0.895095787785886,316.7608610115757,133.49638984333208,1316.446294852424,95278.43148182642
194217.58588058798,71059.84734776549,0.5898836849940186,239.6163459454558,97.54555956875403,1931.4723333725183,69473.50682794867
184944.81522053556,75389.06233004146,0.8866319940730818,189.87428187527576,127.64819492368102,1484.5966121997171,61570.70369898829
126073.90048162863,50596.44311533069,0.7043295749242721,240.17027743656223,123.32904416426112,1430.9490800236722,37482.73247387071
164007.78958026457,60985.98516990862,1.0004508823245057,239.09105721009317,129.84902528016298,1853.463974994669,33508.586530782166
176968.06145201062,59300.65626606852,0.9549897369145273,142.12453428233715,125.78337287815636,1760.929151365368,115795.33021190726
252856.1113109458,57160.04920911546,0.7590180320508968,247.8282053392875,169.1060027982179,869.4431372063002,106337.84924262267
217180.91447842307,86185.45088337317,0.822919962399496,240.76261879165287,107.24520031497369,2090.616139890358,127824.4048010767
111847.9922318633,69859.78053153146,0.7411179717166573,277.8482545925367,109.38006089996365,2052.0365416589807,-21805.851387819595
216204.19846973976,49869.392547979456,0.8905981354090242,323.9582437978138,107.53718947150472,1249.7749193961881,116829.59225268505
180745.88597918418,76014.34336465731,1.0432713480751858,295.0626011819103,108.8904576167949,1658.3214133749636,133046.7631141681
166153.89998470206,90465.87436415159,0.7521410930496685,239.24445237780677,107.25225745386965,1697.6120745130956,-9115.437262513486
230583.8144420434,77389.58312661377,0.9756069773276766,205.73896365033318,143.78033062215104,1604.2695063295628,156574.00190732625
251549.97612479754,46767.56040855184,0.8204613572441339,352.9343921299944,148.4100849597971,1279.877938461832,184202.16971981002
246564.00595580993,59189.191125604986,0.7810690751606484,252.36873736057953,108.58507412501048,1231.3506528247794,65820.51983467737
158039.12383886808,80202.93379023948,0.8839454460068163,250.55717167651784,103.35288853791542,1489.7783716034219,167762.57548341248
184539.38120743926,56507.966412574635,0.7447136516370939,249.03499651559986,129.42831112772808,1969.091607703746,121320.40253424234
216563.1715701782,70325.83313775474,0.8169526041979227,257.9233904307142,108.95553911438057,1717.4400618377729,76783.47856691139
248777.25635611796,74295.60864115204,0.7203183161116727,244.2255835230423,132.65863635511022,1351.7542671655576,132763.7398807268
176041.2881077355,53876.834341063004,1.1947087699374583,227.05351972479053,124.058460417026,1808.6794842593379,130228.34795897268
190717.05116680913,64285.6957272584,0.9052895327957593,228.1256423503843,89.68511770005536,360.5829517479699,102842.69312716476
144683.2512996986,26104.791919171126,0.7950411738011122,248.68986919136006,150.95010402660122,1959.5062801488414,110274.3618300423
140189.66879596646,52707.34830398852,0.9320969866101333,228.2630091546494,155.91755346191044,804.1144884887601,43392.79643279531
240626.2911197099,61969.18218328208,0.8831507925463755,221.48616869291342,107.74422619031228,1355.023623438747,137522.7441490919
267812.00142854115,50026.601816421804,0.8668545600700166,254.25720910767586,112.24596880128031,1052.1320421495425,66814.3924855326
196399.4939209833,84588.93564717962,0.9921250050065138,239.80091130316578,125.7173078144981,982.1274097116377,106477.77776598939
250176.6448946012,47838.30346447241,1.0136261565070959,310.1597195433076,126.6891357997405,1964.3307149514078,79961.35830401827
218081.8012523817,59719.4661596362,0.8204248278584209,143.96120766427953,133.1708854534566,1312.9195194752435,98139.1386049726
167744.01226974378,66568.8869274331,0.813627263903298,293.6602740768985,160.204090775327,1638.6015526922863,156471.80780946702
218069.7802754207,82295.2794687934,0.8587422454272534,299.8434076999052,116.461055450119,1481.2317684483264,164556.09927611964
276901.8283232985,47769.654185846724,0.5547118252896623,167.064390703674,104.03405510923092,1690.8163308892485,180180.75905024604
198208.6980445024,78957.96502585952,0.6727213406702172,236.29249623678606,92.41361543970946,1530.7287564241021,46771.25012231984
278232.18279070035,65122.796732235045,1.1050311401166788,235.14236536016836,105.38139920116161,986.8031103245721,131932.25498126552
69012.74479551279,53221.89618742459,1.1467451570251925,193.69953221128713,119.33746054252406,1898.506727778856,112730.3338896479
241095.12521876118,70545.24169115924,0.8626445940665433,218.887332496365,155.89115727035576,1302.497366735475,149454.0678442914
204352.35341190855,67388.71634688164,0.986483544458365,205.57696618136686,109.64777401927657,877.3672405360995,231321.7593619249
185049.63247670664,57797.39747409446,0.9466875231815305,320.0908177369449,124.47575903277797,1328.753935613635,110542.64028494942
